"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"01023199999","2006-01-01T10:20:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","29.62","25","36","","","","","65","FEW:02 30 SCT:04 98","","","7.00","","110","","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET053ENDR 010920Z 11017KT 9999 FEW030 SCT100 02/M04 Q1003;","","","","","","","","","",""
"01023199999","2006-01-01T13:20:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","29.62","27","36","","","","","70","SCT:04 20 SCT:04 98","","","7.00","","110","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET053ENDR 011220Z 11010KT 9999 SCT020 SCT100 02/M03 Q1003;","","","","","","","","","",""
"01023199999","2006-01-01T16:20:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","29.65","27","36","","","","","70","SCT:04 20 BKN:07 98","","","7.00","","100","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET053ENDR 011520Z 10008KT 9999 SCT020 BKN100 02/M03 Q1004;","","","","","","","","","",""
"01023199999","2006-01-02T07:20:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","29.88","30","41","","","","","66","SCT:04 39 OVC:08 69","","","7.00","","210","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET053ENDR 020620Z 21011KT 9999 SCT040 OVC070 05/M01 Q1012;","","","","","","","","","",""
"01023199999","2006-01-02T10:20:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","29.94","37","41","","","","","87","SCT:04 20 BKN:07 34","","","7.00","","190","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET057ENDR 020920Z 19015KT 9999 VCSH SCT020 BKN035 05/03 Q1014;","","","","","","","","","",""
"01023199999","2006-01-02T13:20:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","30.06","39","41","","||RA","","","93","SCT:04 15 FEW:02 20 OVC:08 20","","","7.00","","180","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET092ENDR 021220Z 18015KT 9999 -RA VCSH SCT015 OVC020 05/04 Q11KT 9999 FEW020 SCT045 07/02 Q1018;","","","","","","","","","",""
"01023199999","2006-01-03T07:20:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","30.00","39","41","","","","","93","OVC:08 44","","","7.00","","140","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET045ENDR 030620Z 14016KT 9999 OVC045 05/04 Q1016;","","","","","","","","","",""
"01023199999","2006-01-03T10:20:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","30.00","39","43","","","","","87","SCT:04 69 BKN:07 108","","","7.00","","150","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET052ENDR 030920Z 15016KT 9999 SCT070 BKN110 06/04 Q1016;","","","","","","","","","",""
"01023199999","2006-01-03T13:20:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","30.00","37","45","","","","","76","BKN:07 59","","","7.00","","170","","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET045ENDR 031220Z 17017KT 9999 BKN060 07/03 Q1016;","","","","","","","","","",""
"01023199999","2006-01-03T16:20:00","64.35","7.8","0.0","DRAUGEN, NO","FM-15","4","30.06","39","43","","||RA","","","87","OVC:08 17","","","7.00","","190","","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET049ENDR 031520Z 19031KT 9999 -RA OVC017 06/04 Q1018;","","","","","","","","","",""
